"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 23:34:38 GMT 2024","Wed Nov 13 23:34:38 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Nov 13 23:32:16 GMT 2024","Wed Nov 13 23:32:24 GMT 2024","7957","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 23:35:27 GMT 2024","Wed Nov 13 23:35:29 GMT 2024","2325","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Nov 13 23:32:00 GMT 2024","Wed Nov 13 23:32:08 GMT 2024","7884","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Wed Nov 13 23:30:28 GMT 2024","Wed Nov 13 23:30:32 GMT 2024","4490","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:29:24 GMT 2024","Wed Nov 13 23:29:27 GMT 2024","2731","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 23:30:32 GMT 2024","Wed Nov 13 23:30:37 GMT 2024","4802","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Wed Nov 13 23:35:32 GMT 2024","Wed Nov 13 23:35:34 GMT 2024","2449","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Nov 13 23:34:03 GMT 2024","Wed Nov 13 23:34:09 GMT 2024","6111","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Wed Nov 13 23:35:24 GMT 2024","Wed Nov 13 23:35:27 GMT 2024","2624","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Nov 13 23:33:20 GMT 2024","Wed Nov 13 23:33:34 GMT 2024","14184","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Wed Nov 13 23:31:29 GMT 2024","Wed Nov 13 23:31:36 GMT 2024","7717","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Wed Nov 13 23:33:12 GMT 2024","Wed Nov 13 23:33:20 GMT 2024","7667","chromium","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Wed Nov 13 23:33:05 GMT 2024","Wed Nov 13 23:33:12 GMT 2024","7576","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 23:31:52 GMT 2024","Wed Nov 13 23:32:00 GMT 2024","8313","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Wed Nov 13 23:31:36 GMT 2024","Wed Nov 13 23:31:44 GMT 2024","7457","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Wed Nov 13 23:29:54 GMT 2024","Wed Nov 13 23:29:59 GMT 2024","5265","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:35:11 GMT 2024","Wed Nov 13 23:35:17 GMT 2024","5651","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Wed Nov 13 23:35:29 GMT 2024","Wed Nov 13 23:35:32 GMT 2024","2695","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Nov 13 23:30:48 GMT 2024","Wed Nov 13 23:30:54 GMT 2024","6051","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Nov 13 23:35:45 GMT 2024","Wed Nov 13 23:35:51 GMT 2024","6508","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Wed Nov 13 23:35:40 GMT 2024","Wed Nov 13 23:35:42 GMT 2024","2543","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Nov 13 23:32:48 GMT 2024","Wed Nov 13 23:32:56 GMT 2024","8320","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"skipped","Wed Nov 13 23:34:38 GMT 2024","Wed Nov 13 23:34:38 GMT 2024","0","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"passed","Wed Nov 13 23:30:23 GMT 2024","Wed Nov 13 23:30:28 GMT 2024","4712","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:31:20 GMT 2024","Wed Nov 13 23:31:29 GMT 2024","8191","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Wed Nov 13 23:32:40 GMT 2024","Wed Nov 13 23:32:48 GMT 2024","8111","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 23:31:06 GMT 2024","Wed Nov 13 23:31:13 GMT 2024","6964","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Wed Nov 13 23:35:51 GMT 2024","Wed Nov 13 23:35:56 GMT 2024","4296","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Nov 13 23:35:42 GMT 2024","Wed Nov 13 23:35:45 GMT 2024","2777","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Nov 13 23:29:59 GMT 2024","Wed Nov 13 23:30:04 GMT 2024","4912","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:29:43 GMT 2024","Wed Nov 13 23:29:48 GMT 2024","5059","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:29:21 GMT 2024","Wed Nov 13 23:29:24 GMT 2024","2939","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 23:30:04 GMT 2024","Wed Nov 13 23:30:09 GMT 2024","5411","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:32:32 GMT 2024","Wed Nov 13 23:32:40 GMT 2024","7686","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 23:29:17 GMT 2024","Wed Nov 13 23:29:21 GMT 2024","3777","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Nov 13 23:30:59 GMT 2024","Wed Nov 13 23:31:06 GMT 2024","6963","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Wed Nov 13 23:31:44 GMT 2024","Wed Nov 13 23:31:52 GMT 2024","8105","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Wed Nov 13 23:34:56 GMT 2024","Wed Nov 13 23:35:01 GMT 2024","4681","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Nov 13 23:34:16 GMT 2024","Wed Nov 13 23:34:22 GMT 2024","6402","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Wed Nov 13 23:32:24 GMT 2024","Wed Nov 13 23:32:32 GMT 2024","8008","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 23:30:09 GMT 2024","Wed Nov 13 23:30:15 GMT 2024","5330","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:35:37 GMT 2024","Wed Nov 13 23:35:40 GMT 2024","2641","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Nov 13 23:30:42 GMT 2024","Wed Nov 13 23:30:48 GMT 2024","6173","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Wed Nov 13 23:34:51 GMT 2024","Wed Nov 13 23:34:56 GMT 2024","5697","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Wed Nov 13 23:34:09 GMT 2024","Wed Nov 13 23:34:16 GMT 2024","6393","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Wed Nov 13 23:34:22 GMT 2024","Wed Nov 13 23:34:33 GMT 2024","10698","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Wed Nov 13 23:29:30 GMT 2024","Wed Nov 13 23:29:32 GMT 2024","2461","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Wed Nov 13 23:35:06 GMT 2024","Wed Nov 13 23:35:11 GMT 2024","5405","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Wed Nov 13 23:32:08 GMT 2024","Wed Nov 13 23:32:16 GMT 2024","8108","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Wed Nov 13 23:32:56 GMT 2024","Wed Nov 13 23:33:05 GMT 2024","8091","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 23:35:17 GMT 2024","Wed Nov 13 23:35:24 GMT 2024","7260","chromium","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Nov 13 23:30:54 GMT 2024","Wed Nov 13 23:30:59 GMT 2024","5125","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Nov 13 23:35:34 GMT 2024","Wed Nov 13 23:35:37 GMT 2024","2515","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Nov 13 23:33:43 GMT 2024","Wed Nov 13 23:33:52 GMT 2024","9034","chromium","","Hosted zones","","","TC_04_02 | Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"passed","Wed Nov 13 23:30:20 GMT 2024","Wed Nov 13 23:30:23 GMT 2024","3304","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
