"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:18:53 GMT 2024","Fri Dec 13 19:18:53 GMT 2024","299","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type",""
"failed","Fri Dec 13 19:16:54 GMT 2024","Fri Dec 13 19:16:54 GMT 2024","314","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:12:50 GMT 2024","Fri Dec 13 19:12:51 GMT 2024","320","webkit","","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone",""
"failed","Fri Dec 13 19:13:38 GMT 2024","Fri Dec 13 19:13:38 GMT 2024","297","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections",""
"failed","Fri Dec 13 19:13:52 GMT 2024","Fri Dec 13 19:13:52 GMT 2024","305","webkit","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center",""
"failed","Fri Dec 13 19:18:13 GMT 2024","Fri Dec 13 19:18:14 GMT 2024","313","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates",""
"failed","Fri Dec 13 19:18:08 GMT 2024","Fri Dec 13 19:18:09 GMT 2024","311","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:14:36 GMT 2024","Fri Dec 13 19:14:36 GMT 2024","312","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page",""
"failed","Fri Dec 13 19:16:24 GMT 2024","Fri Dec 13 19:16:24 GMT 2024","286","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the EV subscription SSL Сertificates",""
"failed","Fri Dec 13 19:15:54 GMT 2024","Fri Dec 13 19:15:55 GMT 2024","312","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header",""
"skipped","Fri Dec 13 19:15:21 GMT 2024","Fri Dec 13 19:15:21 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"failed","Fri Dec 13 19:20:52 GMT 2024","Fri Dec 13 19:20:53 GMT 2024","314","webkit","","Report Abuse submission for each type of report","","","TC_09_07_013| Verify unauthorized user can submit the ""Report Abuse"" form for UDRP",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"failed","Fri Dec 13 19:12:57 GMT 2024","Fri Dec 13 19:12:58 GMT 2024","313","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name",""
"failed","Fri Dec 13 19:16:19 GMT 2024","Fri Dec 13 19:16:19 GMT 2024","309","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates",""
"failed","Fri Dec 13 19:12:40 GMT 2024","Fri Dec 13 19:12:40 GMT 2024","337","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields",""
"failed","Fri Dec 13 19:14:19 GMT 2024","Fri Dec 13 19:14:19 GMT 2024","316","webkit","","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled",""
"failed","Fri Dec 13 19:16:49 GMT 2024","Fri Dec 13 19:16:49 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:13:31 GMT 2024","Fri Dec 13 19:13:32 GMT 2024","295","webkit","","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center",""
"failed","Fri Dec 13 19:20:12 GMT 2024","Fri Dec 13 19:20:13 GMT 2024","300","webkit","","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute",""
"failed","Fri Dec 13 19:15:35 GMT 2024","Fri Dec 13 19:15:35 GMT 2024","300","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search",""
"failed","Fri Dec 13 19:12:29 GMT 2024","Fri Dec 13 19:12:30 GMT 2024","302","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields",""
"failed","Fri Dec 13 19:14:08 GMT 2024","Fri Dec 13 19:14:09 GMT 2024","305","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer",""
