"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 13 20:04:08 GMT 2024","Wed Nov 13 20:04:11 GMT 2024","2701","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 20:14:02 GMT 2024","Wed Nov 13 20:14:04 GMT 2024","2531","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Nov 13 20:12:08 GMT 2024","Wed Nov 13 20:12:17 GMT 2024","8384","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Wed Nov 13 20:10:52 GMT 2024","Wed Nov 13 20:10:59 GMT 2024","7242","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 20:08:40 GMT 2024","Wed Nov 13 20:08:47 GMT 2024","6339","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Wed Nov 13 20:13:32 GMT 2024","Wed Nov 13 20:13:34 GMT 2024","2434","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"skipped","Wed Nov 13 20:04:27 GMT 2024","Wed Nov 13 20:04:27 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Wed Nov 13 20:13:59 GMT 2024","Wed Nov 13 20:14:01 GMT 2024","2639","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"failed","Wed Nov 13 20:13:51 GMT 2024","Wed Nov 13 20:13:58 GMT 2024","7420","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Nov 13 20:04:27 GMT 2024","Wed Nov 13 20:04:31 GMT 2024","4617","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Wed Nov 13 20:09:54 GMT 2024","Wed Nov 13 20:10:01 GMT 2024","7037","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Wed Nov 13 20:04:05 GMT 2024","Wed Nov 13 20:04:08 GMT 2024","3093","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Nov 13 20:12:03 GMT 2024","Wed Nov 13 20:12:08 GMT 2024","5862","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Wed Nov 13 20:08:29 GMT 2024","Wed Nov 13 20:08:36 GMT 2024","7284","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Nov 13 20:13:02 GMT 2024","Wed Nov 13 20:13:08 GMT 2024","5170","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Wed Nov 13 20:06:19 GMT 2024","Wed Nov 13 20:06:23 GMT 2024","3758","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Wed Nov 13 20:13:16 GMT 2024","Wed Nov 13 20:13:21 GMT 2024","4937","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Wed Nov 13 20:14:11 GMT 2024","Wed Nov 13 20:14:14 GMT 2024","2351","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Nov 13 20:13:21 GMT 2024","Wed Nov 13 20:13:26 GMT 2024","4824","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Wed Nov 13 20:13:26 GMT 2024","Wed Nov 13 20:13:32 GMT 2024","5928","chromium","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Nov 13 20:12:57 GMT 2024","Wed Nov 13 20:13:02 GMT 2024","5004","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Wed Nov 13 20:04:13 GMT 2024","Wed Nov 13 20:04:16 GMT 2024","2395","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 20:05:39 GMT 2024","Wed Nov 13 20:05:44 GMT 2024","4951","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Wed Nov 13 20:05:44 GMT 2024","Wed Nov 13 20:05:48 GMT 2024","4357","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
