"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 00:54:44 GMT 2024","Fri Nov 22 00:54:48 GMT 2024","4526","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Fri Nov 22 00:57:20 GMT 2024","Fri Nov 22 00:57:28 GMT 2024","7078","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 22 00:55:41 GMT 2024","Fri Nov 22 00:55:45 GMT 2024","4140","chromium","04Domains.spec.js","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Fri Nov 22 00:57:57 GMT 2024","Fri Nov 22 00:58:09 GMT 2024","12503","chromium","04Domains.spec.js","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"broken","Fri Nov 22 00:53:54 GMT 2024","Fri Nov 22 00:54:24 GMT 2024","30153","chromium","01Registration.spec.js","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy","Verify the contact creation, redirection to Homepage, and user info accuracy"
"skipped","Fri Nov 22 00:52:50 GMT 2024","Fri Nov 22 00:52:50 GMT 2024","1","chromium","01Registration.spec.js","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"passed","Fri Nov 22 01:02:16 GMT 2024","Fri Nov 22 01:02:19 GMT 2024","2319","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Fri Nov 22 00:57:49 GMT 2024","Fri Nov 22 00:57:57 GMT 2024","7720","chromium","04Domains.spec.js","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone","Delete DNS record in hosted zone"
"passed","Fri Nov 22 00:57:28 GMT 2024","Fri Nov 22 00:57:35 GMT 2024","7144","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 22 00:52:48 GMT 2024","Fri Nov 22 00:52:50 GMT 2024","2273","chromium","01Registration.spec.js","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Fri Nov 22 00:55:30 GMT 2024","Fri Nov 22 00:55:36 GMT 2024","5264","chromium","03Navigation.spec.js","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Fri Nov 22 00:57:07 GMT 2024","Fri Nov 22 00:57:14 GMT 2024","6858","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 22 00:56:03 GMT 2024","Fri Nov 22 00:56:09 GMT 2024","6535","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"broken","Fri Nov 22 01:00:19 GMT 2024","Fri Nov 22 01:00:50 GMT 2024","31158","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled","To verify, that user can change Password when Two-factor authentication (2FA) is disabled"
"passed","Fri Nov 22 01:01:21 GMT 2024","Fri Nov 22 01:01:26 GMT 2024","5312","chromium","08MyProfile.spec.js","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Fri Nov 22 01:01:11 GMT 2024","Fri Nov 22 01:01:16 GMT 2024","4541","chromium","08MyProfile.spec.js","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Fri Nov 22 00:54:29 GMT 2024","Fri Nov 22 00:54:34 GMT 2024","4794","chromium","02Authorization.spec.js","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
