"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 17:40:47 GMT 2024","Thu Nov 07 17:40:54 GMT 2024","6262","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Nov 07 17:37:02 GMT 2024","Thu Nov 07 17:37:07 GMT 2024","4320","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"skipped","Thu Nov 07 17:40:12 GMT 2024","Thu Nov 07 17:40:12 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Nov 07 17:40:57 GMT 2024","Thu Nov 07 17:40:59 GMT 2024","2525","chromium","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"passed","Thu Nov 07 17:38:05 GMT 2024","Thu Nov 07 17:38:13 GMT 2024","7706","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"skipped","Thu Nov 07 17:40:08 GMT 2024","Thu Nov 07 17:40:08 GMT 2024","0","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center",""
"passed","Thu Nov 07 17:38:21 GMT 2024","Thu Nov 07 17:38:27 GMT 2024","6602","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:37:21 GMT 2024","Thu Nov 07 17:37:27 GMT 2024","6190","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Nov 07 17:40:02 GMT 2024","Thu Nov 07 17:40:08 GMT 2024","5810","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"skipped","Thu Nov 07 17:40:08 GMT 2024","Thu Nov 07 17:40:08 GMT 2024","0","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters",""
"passed","Thu Nov 07 17:36:06 GMT 2024","Thu Nov 07 17:36:09 GMT 2024","3070","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 07 17:40:28 GMT 2024","Thu Nov 07 17:40:30 GMT 2024","2570","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Nov 07 17:36:51 GMT 2024","Thu Nov 07 17:36:55 GMT 2024","4302","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:36:36 GMT 2024","Thu Nov 07 17:36:41 GMT 2024","5204","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
