"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 04:11:14 GMT 2024","Wed Dec 18 04:11:22 GMT 2024","8451","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:09:11 GMT 2024","Wed Dec 18 04:09:19 GMT 2024","7815","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the DV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the DV subscription SSL Сertificates"
"passed","Wed Dec 18 03:53:43 GMT 2024","Wed Dec 18 03:53:58 GMT 2024","15088","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 04:12:12 GMT 2024","Wed Dec 18 04:12:24 GMT 2024","11702","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 03:55:14 GMT 2024","Wed Dec 18 03:55:27 GMT 2024","12676","webkit","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Wed Dec 18 03:52:23 GMT 2024","Wed Dec 18 03:52:37 GMT 2024","13974","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 03:44:11 GMT 2024","Wed Dec 18 03:44:16 GMT 2024","4920","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Dec 18 03:57:54 GMT 2024","Wed Dec 18 03:58:08 GMT 2024","13913","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections","Verify user can navigate through the Knowledge Base sections by clicking on headings"
"passed","Wed Dec 18 04:12:41 GMT 2024","Wed Dec 18 04:12:52 GMT 2024","10506","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","1","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type",""
"passed","Wed Dec 18 04:13:02 GMT 2024","Wed Dec 18 04:13:09 GMT 2024","7517","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
