"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 07:04:13 GMT 2024","Sat Nov 09 07:04:27 GMT 2024","13571","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Sat Nov 09 07:05:47 GMT 2024","Sat Nov 09 07:05:50 GMT 2024","2801","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Sat Nov 09 07:01:58 GMT 2024","Sat Nov 09 07:02:03 GMT 2024","4979","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Sat Nov 09 07:05:42 GMT 2024","Sat Nov 09 07:05:45 GMT 2024","2610","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Sat Nov 09 07:02:11 GMT 2024","Sat Nov 09 07:02:16 GMT 2024","4259","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Sat Nov 09 07:04:54 GMT 2024","Sat Nov 09 07:04:59 GMT 2024","5884","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Sat Nov 09 07:05:23 GMT 2024","Sat Nov 09 07:05:28 GMT 2024","4760","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Sat Nov 09 07:04:49 GMT 2024","Sat Nov 09 07:04:54 GMT 2024","4974","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Sat Nov 09 07:04:28 GMT 2024","Sat Nov 09 07:04:34 GMT 2024","6178","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Sat Nov 09 07:01:35 GMT 2024","Sat Nov 09 07:01:39 GMT 2024","3795","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Sat Nov 09 07:06:08 GMT 2024","Sat Nov 09 07:06:12 GMT 2024","3184","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Sat Nov 09 07:00:59 GMT 2024","Sat Nov 09 07:01:04 GMT 2024","5073","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Sat Nov 09 07:03:09 GMT 2024","Sat Nov 09 07:03:16 GMT 2024","6700","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Sat Nov 09 07:06:00 GMT 2024","Sat Nov 09 07:06:02 GMT 2024","2299","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Sat Nov 09 07:04:42 GMT 2024","Sat Nov 09 07:04:49 GMT 2024","6860","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Sat Nov 09 07:04:06 GMT 2024","Sat Nov 09 07:04:13 GMT 2024","7025","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
