"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 03:30:14 GMT 2024","Thu Nov 14 03:30:19 GMT 2024","4831","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Nov 14 03:33:55 GMT 2024","Thu Nov 14 03:34:00 GMT 2024","5401","chromium","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Thu Nov 14 03:34:25 GMT 2024","Thu Nov 14 03:34:31 GMT 2024","5698","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Thu Nov 14 03:29:12 GMT 2024","Thu Nov 14 03:29:17 GMT 2024","4085","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Thu Nov 14 03:30:01 GMT 2024","Thu Nov 14 03:30:05 GMT 2024","3869","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 14 03:34:14 GMT 2024","Thu Nov 14 03:34:16 GMT 2024","2336","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Nov 14 03:33:37 GMT 2024","Thu Nov 14 03:33:41 GMT 2024","4168","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Thu Nov 14 03:32:05 GMT 2024","Thu Nov 14 03:32:12 GMT 2024","6233","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 03:34:10 GMT 2024","Thu Nov 14 03:34:12 GMT 2024","2138","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Nov 14 03:31:26 GMT 2024","Thu Nov 14 03:31:33 GMT 2024","7025","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 03:30:41 GMT 2024","Thu Nov 14 03:30:48 GMT 2024","7030","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Thu Nov 14 03:32:39 GMT 2024","Thu Nov 14 03:32:46 GMT 2024","6801","chromium","","Hosted zones","","","TC_04_02 | Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"skipped","Thu Nov 14 03:33:23 GMT 2024","Thu Nov 14 03:33:23 GMT 2024","0","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"passed","Thu Nov 14 03:31:39 GMT 2024","Thu Nov 14 03:31:46 GMT 2024","6268","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 03:30:23 GMT 2024","Thu Nov 14 03:30:29 GMT 2024","6066","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Thu Nov 14 03:32:46 GMT 2024","Thu Nov 14 03:32:53 GMT 2024","6243","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Thu Nov 14 03:31:46 GMT 2024","Thu Nov 14 03:31:52 GMT 2024","6553","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 03:30:29 GMT 2024","Thu Nov 14 03:30:35 GMT 2024","5493","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Thu Nov 14 03:29:33 GMT 2024","Thu Nov 14 03:29:37 GMT 2024","3961","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:33:32 GMT 2024","Thu Nov 14 03:33:37 GMT 2024","4524","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Thu Nov 14 03:28:58 GMT 2024","Thu Nov 14 03:29:02 GMT 2024","3666","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Nov 14 03:33:18 GMT 2024","Thu Nov 14 03:33:23 GMT 2024","4661","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Thu Nov 14 03:34:12 GMT 2024","Thu Nov 14 03:34:14 GMT 2024","2182","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Nov 14 03:32:54 GMT 2024","Thu Nov 14 03:32:59 GMT 2024","5885","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Thu Nov 14 03:30:48 GMT 2024","Thu Nov 14 03:30:54 GMT 2024","6525","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Thu Nov 14 03:29:10 GMT 2024","Thu Nov 14 03:29:12 GMT 2024","2459","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Thu Nov 14 03:33:04 GMT 2024","Thu Nov 14 03:33:10 GMT 2024","5452","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Thu Nov 14 03:29:37 GMT 2024","Thu Nov 14 03:29:42 GMT 2024","4316","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:31:20 GMT 2024","Thu Nov 14 03:31:26 GMT 2024","6026","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Thu Nov 14 03:33:41 GMT 2024","Thu Nov 14 03:33:45 GMT 2024","3760","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
