"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 04:41:48 GMT 2024","Thu Nov 07 04:41:58 GMT 2024","10414","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"skipped","Thu Nov 07 04:42:22 GMT 2024","Thu Nov 07 04:42:22 GMT 2024","0","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"passed","Thu Nov 07 04:39:39 GMT 2024","Thu Nov 07 04:39:46 GMT 2024","7007","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Thu Nov 07 04:39:20 GMT 2024","Thu Nov 07 04:39:26 GMT 2024","5789","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Thu Nov 07 04:42:35 GMT 2024","Thu Nov 07 04:42:37 GMT 2024","2301","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Nov 07 04:38:45 GMT 2024","Thu Nov 07 04:38:49 GMT 2024","3706","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 07 04:38:27 GMT 2024","Thu Nov 07 04:38:31 GMT 2024","4198","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:38:41 GMT 2024","Thu Nov 07 04:38:45 GMT 2024","3829","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:38:05 GMT 2024","Thu Nov 07 04:38:09 GMT 2024","4156","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:38:18 GMT 2024","Thu Nov 07 04:38:22 GMT 2024","4760","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
