"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 13 21:04:39 GMT 2024","Wed Nov 13 21:04:45 GMT 2024","6185","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone",""
"passed","Wed Nov 13 21:04:04 GMT 2024","Wed Nov 13 21:04:09 GMT 2024","4932","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Wed Nov 13 21:03:55 GMT 2024","Wed Nov 13 21:03:59 GMT 2024","4338","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields",""
"passed","Wed Nov 13 21:01:40 GMT 2024","Wed Nov 13 21:01:42 GMT 2024","2936","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:03:50 GMT 2024","Wed Nov 13 21:03:55 GMT 2024","4600","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Wed Nov 13 21:04:34 GMT 2024","Wed Nov 13 21:04:36 GMT 2024","2415","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Nov 13 21:02:12 GMT 2024","Wed Nov 13 21:02:17 GMT 2024","4494","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Nov 13 21:01:30 GMT 2024","Wed Nov 13 21:01:35 GMT 2024","4894","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:01:16 GMT 2024","Wed Nov 13 21:01:20 GMT 2024","4309","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:03:36 GMT 2024","Wed Nov 13 21:03:40 GMT 2024","4524","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
