"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 13 16:15:30 GMT 2024","Wed Nov 13 16:15:36 GMT 2024","6329","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"passed","Wed Nov 13 16:12:05 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","8698","chromium","","Domains > DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Wed Nov 13 16:06:59 GMT 2024","Wed Nov 13 16:07:06 GMT 2024","6970","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:15:44 GMT 2024","Wed Nov 13 16:15:53 GMT 2024","9701","chromium","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Nov 13 16:15:59 GMT 2024","Wed Nov 13 16:16:02 GMT 2024","2850","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Nov 13 16:05:44 GMT 2024","Wed Nov 13 16:05:47 GMT 2024","2552","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Wed Nov 13 16:14:58 GMT 2024","Wed Nov 13 16:15:07 GMT 2024","8890","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"failed","Wed Nov 13 16:14:47 GMT 2024","Wed Nov 13 16:14:57 GMT 2024","10191","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Wed Nov 13 16:14:19 GMT 2024","Wed Nov 13 16:14:24 GMT 2024","5280","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Wed Nov 13 16:07:06 GMT 2024","Wed Nov 13 16:07:11 GMT 2024","4781","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:11:06 GMT 2024","Wed Nov 13 16:11:12 GMT 2024","5642","chromium","","Domains > Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"skipped","Wed Nov 13 16:14:57 GMT 2024","Wed Nov 13 16:14:57 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Nov 13 16:16:13 GMT 2024","Wed Nov 13 16:16:15 GMT 2024","2671","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Nov 13 16:05:53 GMT 2024","Wed Nov 13 16:05:59 GMT 2024","6355","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Nov 13 16:16:05 GMT 2024","Wed Nov 13 16:16:07 GMT 2024","2745","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Nov 13 16:16:22 GMT 2024","Wed Nov 13 16:16:26 GMT 2024","3842","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Nov 13 16:15:07 GMT 2024","Wed Nov 13 16:15:13 GMT 2024","6366","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Wed Nov 13 16:12:46 GMT 2024","Wed Nov 13 16:12:55 GMT 2024","8661","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 16:13:04 GMT 2024","Wed Nov 13 16:13:12 GMT 2024","8204","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 16:12:55 GMT 2024","Wed Nov 13 16:13:04 GMT 2024","9146","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
