"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","0","webkit","","Delete Account","","","TC_02_04 | Account Deletion Without 2FA",""
"failed","Fri Dec 13 19:35:49 GMT 2024","Fri Dec 13 19:35:49 GMT 2024","307","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone",""
"failed","Fri Dec 13 19:43:03 GMT 2024","Fri Dec 13 19:43:04 GMT 2024","287","webkit","","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming",""
"failed","Fri Dec 13 19:36:23 GMT 2024","Fri Dec 13 19:36:23 GMT 2024","309","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article",""
"failed","Fri Dec 13 19:42:14 GMT 2024","Fri Dec 13 19:42:15 GMT 2024","293","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type",""
"failed","Fri Dec 13 19:40:36 GMT 2024","Fri Dec 13 19:40:36 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""n"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:35:08 GMT 2024","Fri Dec 13 19:35:08 GMT 2024","322","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"failed","Fri Dec 13 19:36:13 GMT 2024","Fri Dec 13 19:36:13 GMT 2024","308","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input",""
"failed","Fri Dec 13 19:37:07 GMT 2024","Fri Dec 13 19:37:07 GMT 2024","319","webkit","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings",""
"failed","Fri Dec 13 19:41:40 GMT 2024","Fri Dec 13 19:41:41 GMT 2024","296","webkit","","Reset Password","","","TC_09_05_03 | Verify password recovery process",""
"failed","Fri Dec 13 19:35:15 GMT 2024","Fri Dec 13 19:35:15 GMT 2024","318","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
