"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 17:17:34 GMT 2024","Wed Nov 13 17:17:34 GMT 2024","0","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","1","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields",""
"passed","Wed Nov 13 17:14:19 GMT 2024","Wed Nov 13 17:14:23 GMT 2024","4119","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Nov 13 17:18:09 GMT 2024","Wed Nov 13 17:18:15 GMT 2024","5789","chromium","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Nov 13 17:14:23 GMT 2024","Wed Nov 13 17:14:27 GMT 2024","4457","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Nov 13 17:17:58 GMT 2024","Wed Nov 13 17:18:03 GMT 2024","5118","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"passed","Wed Nov 13 17:18:36 GMT 2024","Wed Nov 13 17:18:42 GMT 2024","6082","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Wed Nov 13 17:15:51 GMT 2024","Wed Nov 13 17:15:59 GMT 2024","8330","chromium","","Domains > Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Nov 13 17:16:22 GMT 2024","Wed Nov 13 17:16:28 GMT 2024","6486","chromium","","Domains > DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Wed Nov 13 17:18:20 GMT 2024","Wed Nov 13 17:18:23 GMT 2024","2800","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"skipped","Wed Nov 13 17:17:34 GMT 2024","Wed Nov 13 17:17:34 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Nov 13 17:16:29 GMT 2024","Wed Nov 13 17:16:35 GMT 2024","5894","chromium","","Domains > DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Wed Nov 13 17:15:37 GMT 2024","Wed Nov 13 17:15:50 GMT 2024","13062","chromium","","Domains > Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
