"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 17 03:31:35 GMT 2024","Tue Dec 17 03:31:41 GMT 2024","6430","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Registered domains link in header"
"passed","Tue Dec 17 03:44:46 GMT 2024","Tue Dec 17 03:44:58 GMT 2024","11734","webkit","","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:25:37 GMT 2024","Tue Dec 17 03:25:52 GMT 2024","15120","webkit","","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.","To Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added."
"passed","Tue Dec 17 03:32:39 GMT 2024","Tue Dec 17 03:32:49 GMT 2024","9985","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the EV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the EV subscription SSL Сertificates"
"passed","Tue Dec 17 03:19:42 GMT 2024","Tue Dec 17 03:19:56 GMT 2024","13999","webkit","","Hosted zones","","","TC_04_03_01| Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"skipped","Tue Dec 17 03:28:54 GMT 2024","Tue Dec 17 03:28:54 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"broken","Tue Dec 17 03:51:51 GMT 2024","Tue Dec 17 03:52:52 GMT 2024","60493","webkit","","Contact Us","","","TC_09_06_08 | Verify unauthorized users can submit the ""Contact Us"" form for ""Affiliate"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:29:03 GMT 2024","Tue Dec 17 03:29:10 GMT 2024","6955","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"passed","Tue Dec 17 03:13:44 GMT 2024","Tue Dec 17 03:14:01 GMT 2024","16455","webkit","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Tue Dec 17 03:35:47 GMT 2024","Tue Dec 17 03:35:56 GMT 2024","9241","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:36:28 GMT 2024","Tue Dec 17 03:36:36 GMT 2024","8231","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:16:27 GMT 2024","Tue Dec 17 03:16:43 GMT 2024","15710","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Tue Dec 17 03:35:03 GMT 2024","Tue Dec 17 03:35:15 GMT 2024","11935","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""n"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:26:58 GMT 2024","Tue Dec 17 03:27:06 GMT 2024","7768","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Dec 17 03:26:26 GMT 2024","Tue Dec 17 03:26:45 GMT 2024","19678","webkit","","My profile","","","TC_08_05 | Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section","Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section"
"passed","Tue Dec 17 03:31:18 GMT 2024","Tue Dec 17 03:31:35 GMT 2024","17364","webkit","","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons","Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons"
"passed","Tue Dec 17 03:34:30 GMT 2024","Tue Dec 17 03:34:37 GMT 2024","6722","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:28:40 GMT 2024","Tue Dec 17 03:28:47 GMT 2024","6414","webkit","","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality","To verify Forgot Password page elements and ""Back to Log in"" functionality."
"passed","Tue Dec 17 03:25:52 GMT 2024","Tue Dec 17 03:26:05 GMT 2024","13376","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency","To verify, the General info tab contents General info, Password, Two-factor authentication (2FA), Currency and the General info section contains USER EMAIL and the Delete account button"
