"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 14:22:51 GMT 2024","Fri Nov 08 14:22:58 GMT 2024","7036","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:20:44 GMT 2024","Fri Nov 08 14:20:48 GMT 2024","4187","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Nov 08 14:21:31 GMT 2024","Fri Nov 08 14:21:35 GMT 2024","4130","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:21:35 GMT 2024","Fri Nov 08 14:21:39 GMT 2024","3885","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Fri Nov 08 14:22:31 GMT 2024","Fri Nov 08 14:22:38 GMT 2024","7053","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:23:06 GMT 2024","Fri Nov 08 14:23:13 GMT 2024","6909","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 08 14:25:06 GMT 2024","Fri Nov 08 14:25:09 GMT 2024","2653","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Fri Nov 08 14:25:11 GMT 2024","Fri Nov 08 14:25:14 GMT 2024","2335","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Fri Nov 08 14:20:39 GMT 2024","Fri Nov 08 14:20:42 GMT 2024","2428","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 08 14:21:07 GMT 2024","Fri Nov 08 14:21:11 GMT 2024","4671","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:24:38 GMT 2024","Fri Nov 08 14:24:42 GMT 2024","4323","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Fri Nov 08 14:22:05 GMT 2024","Fri Nov 08 14:22:11 GMT 2024","5625","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Fri Nov 08 14:20:37 GMT 2024","Fri Nov 08 14:20:39 GMT 2024","2630","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"skipped","Fri Nov 08 14:24:57 GMT 2024","Fri Nov 08 14:24:57 GMT 2024","0","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"passed","Fri Nov 08 14:21:44 GMT 2024","Fri Nov 08 14:21:48 GMT 2024","4467","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Fri Nov 08 14:25:16 GMT 2024","Fri Nov 08 14:25:18 GMT 2024","2346","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Fri Nov 08 14:21:24 GMT 2024","Fri Nov 08 14:21:27 GMT 2024","2860","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:22:38 GMT 2024","Fri Nov 08 14:22:45 GMT 2024","7008","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:21:54 GMT 2024","Fri Nov 08 14:21:59 GMT 2024","4323","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Fri Nov 08 14:24:32 GMT 2024","Fri Nov 08 14:24:38 GMT 2024","5683","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Fri Nov 08 14:24:27 GMT 2024","Fri Nov 08 14:24:32 GMT 2024","5114","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Fri Nov 08 14:25:01 GMT 2024","Fri Nov 08 14:25:04 GMT 2024","2429","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Fri Nov 08 14:25:04 GMT 2024","Fri Nov 08 14:25:06 GMT 2024","2317","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Fri Nov 08 14:23:41 GMT 2024","Fri Nov 08 14:23:47 GMT 2024","6333","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 08 14:25:14 GMT 2024","Fri Nov 08 14:25:16 GMT 2024","2321","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Fri Nov 08 14:21:39 GMT 2024","Fri Nov 08 14:21:44 GMT 2024","4430","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"skipped","Fri Nov 08 14:24:42 GMT 2024","Fri Nov 08 14:24:42 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Fri Nov 08 14:21:20 GMT 2024","Fri Nov 08 14:21:24 GMT 2024","3890","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:23:13 GMT 2024","Fri Nov 08 14:23:20 GMT 2024","7234","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 08 14:25:18 GMT 2024","Fri Nov 08 14:25:21 GMT 2024","2511","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Fri Nov 08 14:24:52 GMT 2024","Fri Nov 08 14:24:56 GMT 2024","4094","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"skipped","Fri Nov 08 14:20:53 GMT 2024","Fri Nov 08 14:20:53 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Fri Nov 08 14:25:09 GMT 2024","Fri Nov 08 14:25:11 GMT 2024","2447","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Fri Nov 08 14:22:58 GMT 2024","Fri Nov 08 14:23:06 GMT 2024","7774","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:21:59 GMT 2024","Fri Nov 08 14:22:05 GMT 2024","6341","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Fri Nov 08 14:24:42 GMT 2024","Fri Nov 08 14:24:48 GMT 2024","5827","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Fri Nov 08 14:21:27 GMT 2024","Fri Nov 08 14:21:31 GMT 2024","4365","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:22:17 GMT 2024","Fri Nov 08 14:22:24 GMT 2024","7023","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:21:11 GMT 2024","Fri Nov 08 14:21:16 GMT 2024","4431","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:24:48 GMT 2024","Fri Nov 08 14:24:52 GMT 2024","4084","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Fri Nov 08 14:24:08 GMT 2024","Fri Nov 08 14:24:14 GMT 2024","6009","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Fri Nov 08 14:22:24 GMT 2024","Fri Nov 08 14:22:31 GMT 2024","6993","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:23:54 GMT 2024","Fri Nov 08 14:24:07 GMT 2024","12485","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Fri Nov 08 14:20:53 GMT 2024","Fri Nov 08 14:20:57 GMT 2024","4294","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:20:33 GMT 2024","Fri Nov 08 14:20:36 GMT 2024","3279","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Fri Nov 08 14:24:21 GMT 2024","Fri Nov 08 14:24:27 GMT 2024","5903","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Fri Nov 08 14:23:20 GMT 2024","Fri Nov 08 14:23:27 GMT 2024","7043","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 08 14:21:48 GMT 2024","Fri Nov 08 14:21:54 GMT 2024","6148","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Fri Nov 08 14:25:21 GMT 2024","Fri Nov 08 14:25:27 GMT 2024","6003","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Fri Nov 08 14:22:11 GMT 2024","Fri Nov 08 14:22:17 GMT 2024","6154","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Fri Nov 08 14:23:35 GMT 2024","Fri Nov 08 14:23:41 GMT 2024","6632","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 08 14:25:27 GMT 2024","Fri Nov 08 14:25:31 GMT 2024","3984","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
