"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 05:29:25 GMT 2024","Wed Nov 06 05:29:31 GMT 2024","6240","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Wed Nov 06 05:32:49 GMT 2024","Wed Nov 06 05:32:52 GMT 2024","2538","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Nov 06 05:28:34 GMT 2024","Wed Nov 06 05:28:39 GMT 2024","4633","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:27:41 GMT 2024","Wed Nov 06 05:27:44 GMT 2024","2710","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 06 05:28:39 GMT 2024","Wed Nov 06 05:28:44 GMT 2024","4494","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:30:26 GMT 2024","Wed Nov 06 05:30:33 GMT 2024","7354","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 06 05:31:29 GMT 2024","Wed Nov 06 05:31:43 GMT 2024","13999","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Wed Nov 06 05:29:11 GMT 2024","Wed Nov 06 05:29:18 GMT 2024","7099","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Wed Nov 06 05:30:02 GMT 2024","Wed Nov 06 05:30:10 GMT 2024","7546","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Wed Nov 06 05:32:55 GMT 2024","Wed Nov 06 05:32:57 GMT 2024","2898","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Nov 06 05:28:58 GMT 2024","Wed Nov 06 05:29:06 GMT 2024","7548","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Nov 06 05:29:54 GMT 2024","Wed Nov 06 05:30:02 GMT 2024","8119","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Wed Nov 06 05:30:41 GMT 2024","Wed Nov 06 05:30:50 GMT 2024","8809","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 06 05:33:00 GMT 2024","Wed Nov 06 05:33:06 GMT 2024","5452","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Wed Nov 06 05:27:55 GMT 2024","Wed Nov 06 05:28:01 GMT 2024","6156","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:28:06 GMT 2024","Wed Nov 06 05:28:10 GMT 2024","4395","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:31:07 GMT 2024","Wed Nov 06 05:31:15 GMT 2024","7841","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 06 05:31:45 GMT 2024","Wed Nov 06 05:31:53 GMT 2024","7402","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Wed Nov 06 05:32:57 GMT 2024","Wed Nov 06 05:33:00 GMT 2024","2614","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
